state,county,fips,trump16,trump16_pct,clinton16,clinton16_pct,otherpres16,otherpres16_pct,romney12,romney12_pct,obama12,obama12_pct,otherpres12,otherpres12_pct,senaterace16,houserace16,govrace16,total_population,cvap,voterturnout16_pct,voterturnout12_pct,voterturnout_pct_diff,white_pct,nonwhite_pct,black_pct,hispanic_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,rural_pct,RepWon16,RepWon12,Repmargin12,Repmargin16
Alabama,Autauga,1001,18172,72.76658791,5936,23.76967124,865,3.46374084,17379,72.61825171,6363,26.58783219,190,0.793916096,Race,Race,No Race,55049,40690,61.37380192,58.81543377,2.558368149,75.68348199,24.31651801,18.37090592,2.57225381,1.838362186,51.17622482,40.03705789,13.97845556,53099,5.591657263,12.41704602,75.40722865,42.00216232,1,1,46.030419519999995,48.99691667
Alabama,Baldwin,1003,72883,76.54571234,18458,19.38560101,3874,4.068686657,66016,77.35826947,18424,21.58944433,898,1.052286203,Race,Race,No Race,199510,151770,62.73637741,56.22850366,6.507873756,83.17878803,16.82121197,9.225602727,4.366698411,3.2695103,51.19492757,35.47441231,18.71485139,51365,6.286843229,9.972417933,70.45288897,42.27909911,1,1,55.76882514,57.16011132999999
Alabama,Barbour,1005,5454,52.09666635,4871,46.52784411,144,1.375489541,5550,48.22312972,5912,51.36849422,47,0.408376054,Race,Race,No Race,26614,20375,51.38159509,56.48588957,-5.104294479,45.88562411,54.11437589,47.88832945,4.30976178,2.85939731,46.49808372,37.66438716,16.52889457,33956,12.82473827,26.23592756,87.13221298,67.7896347,1,0,-3.1453644999999995,5.568822240000003
Alabama,Bibb,1007,6738,76.40322032,1874,21.24957478,207,2.347204899,6132,72.82660333,2202,26.152019,86,1.021377672,Race,Race,No Race,22572,17590,50.13644116,47.86810688,2.268334281,74.76519582,25.23480418,21.21212121,2.223994329,1.351231614,46.46464646,37.3294347,14.8856991,39776,7.14682672,19.3015873,88,68.35260746,1,1,46.67458433,55.15364554
Alabama,Blount,1009,22859,89.33484446,2156,8.425824605,573,2.239330936,20757,86.46588353,2970,12.37190702,279,1.162209448,Race,Race,No Race,57704,42430,60.30638699,56.577893,3.72849399,87.65770137,12.34229863,1.557950922,8.727297934,4.271800915,50.48523499,37.24005268,17.19291557,46212,5.953832753,19.96858533,86.95024321,89.95150204,1,1,74.09397651,80.909019855
Alabama,Bullock,1011,1140,24.20382166,3530,74.94692144,40,0.8492569,1251,23.50620068,4061,76.30590004,10,0.187899286,Race,Race,No Race,10552,8195,57.47406955,64.94203783,-7.467968273,21.68309325,78.31690675,75.50227445,0.123199393,1.516300227,45.80174375,37.93593632,15.13457165,29335,13.25852037,33.43788354,89.74498841,51.37438153,0,0,-52.79969936,-50.743099779999994
Alabama,Butler,1013,4901,56.1268896,3726,42.67063674,105,1.2024736600000001,5087,53.56992418,4374,46.06149958,35,0.368576243,Race,Race,No Race,20280,15425,56.60940032,61.5623987,-4.952998379,52.78106509,47.21893491,43.51577909,1.247534517,1.395463511,53.04733728,37.05621302,18.12623274,34315,9.804827347,18.94042584,83.91999426,71.23215735,1,1,7.508424599999998,13.45625286
Alabama,Calhoun,1015,32865,68.66329601,13242,27.66588668,1757,3.670817316,30278,65.45603909,15511,33.53222215,468,1.011738764,Race,Race,No Race,115883,88525,54.06834228,52.25303587,1.815306411,72.99776499,27.00223501,20.33171388,3.436224468,2.39379374,51.89803509,38.78308294,15.93072323,41954,11.6818216,17.66313675,82.34703347,33.69682556,1,1,31.923816940000002,40.997409329999996
Alabama,Chambers,1017,7843,56.42446043,5784,41.61151079,273,1.964028777,7626,52.1935528,6871,47.02621313,114,0.78023407,Race,Race,No Race,34018,26480,52.49244713,55.17749245,-2.685045317,56.74348874,43.25651126,40.47857017,0.43506379,0.990652008,52.08713034,35.87218531,18.38732436,36027,7.489945276,19.73673179,87.51572063,49.14803449,1,1,5.167339669999997,14.812949640000006
Alabama,Cherokee,1019,8953,83.41563403,1547,14.4134911,233,2.170874872,7506,76.75631455,2132,21.80182023,141,1.441865221,Race,Race,No Race,25897,20505,52.34333089,47.69080712,4.652523775,91.87164536,8.128354636,4.606711202,1.563887709,0.725952813,50.25292505,32.71035255,20.32281731,38925,5.855731043,18.71723548,86.03830106,85.73627304,1,1,54.954494319999995,69.00214293
